academic_year,agency_name,agency_name_display,comments_supervisor,least_helpful,most_helpful,other_comments,recommend_reason
2020-2021,child and family service department,Child And Family Service Department,jake was always available to me any time i had questions and always offered to help me any way he could throughout the duration of the practicum. he has always been a wonderful source of information.,everything i have done so far has been helpful to me.,it was very helpful to shadow my afi and learn from him directly in how to do other jobs within the agency.,,it is an agency with a lot to offer as far as learning opportunities.
2023-2024,child and family service department,Child And Family Service Department,,no clinical specific experience.,my afi challenging me.,,
2014-2015,mountain home montana,Mountain Home Montana,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.","documentation was important, but it occasionally overshadowed client interaction.","i appreciated being trusted with assessment work and seeing how assessment informs case management and direct practice. i could see how assessment, intervention, and evaluation work together.",,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were care planning, family systems."
2014-2015,santiam hospital & clinics,Santiam Hospital & Clinics,,"relapse and crisis cycles were educational, but at times difficult because progress was not always linear.","motivational interviewing and rapport-building were especially valuable in this placement. it gave me a clearer view of micro, mezzo, and macro practice.",this placement helped me connect classroom learning to practice and strengthened my professional identity.,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were assessment, motivational interviewing."
2015-2016,bozeman health deaconess regional medical center,Bozeman Health Deaconess Regional Medical Center,,i would have benefited from clearer orientation and more defined project timelines.,resource linkage was very helpful because it taught me how to translate assessment into practical support. it also reinforced a person-in-environment perspective.,,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were resource linkage, advocacy."
2016-2017,youth homes,Youth Homes,josephine was wonderful to work with and inspired me to continue in this line of work.,could have used more training.,getting involved in a field i am interested in and learning more about the interworkings of being a social worker.,"i would recommend this to anyone interested in working with youth, specifically teenagers.","it was a rewarding experience, and i got to be apart of a really valuable community helping the youth of missoula."
2016-2017,empowermt,Empowermt,"heidi is the best, she will support you across the board1",i would have appreciated more micro level work. the work environment was a little laid back and chaotic for my liking.,"having the opportunity to lead youth groups, make mistakes, and try many different tasks. learning through doing!",,just be prepared for a little chaos and mezzo/macro work!
2016-2017,stepping stones,Stepping Stones,darren is has abundant knowledge and i wouldn't have wanted anyone else to be my afi!!!,"honestly, our program director (not my afi) has not been very helpful with guiding me or training me on certain things (ex. helping send in inpatient applications for patients and rois) she expects me to do, just tells me that i was wrong...","having unparalleled support in regards to all questions needing answered, whether that be: ethical questions, it support, clinician language/lingo, or advice regarding being triggered by specific patient stories/experiences.",thank you for this experience!,
2016-2017,poverello center inc,Poverello Center Inc,,"doing a work-based practicum, i often found it difficult to separate my work life and my school life.",i found that i benefited the most from the group supervision sessions with the two other practicum students at the agency. it was very helpful to share ideas and learn from different viewpoints by people in similar situations.,,
2016-2017,international rescue committee,International Rescue Committee,i just wish i had a consistent afi but the ones i did have were great.,honestly not my agencies fault but the lack of funding and no more incoming clients due to the trump administration made trying to find things to do and learn new thing around the the last month and half difficult and i had to actually seek out and look for educational opportunities.,learning how to just adapt and pivot and how to present myself as a social worker with clients and community partners.,i felt useful and impactful at my practicum.,don't get me wrong i loved my internship and the people i worked with and served and have learned a lot and in my view i have helped people but i would not recommend a student applying for a practicum at the irc at the moment. in a year maybe yes but since over half the staff has been laid off since i started in late august and the way things are operating is different we are not getting new clients probably until trump finishes his term. i just don't think its the type of learning environment i would recommend till the dust clears a bit more. and note i don't think its the agencies fault its self but outside forces affecting the agency and the agency just trying to adapt.
2016-2017,soft landing missoula,Soft Landing Missoula,"my afi played a crucial role in my professional development by fostering a supportive and growth oriented environment. their mentorship encouraged me to think critically, reflect on my practice, and build confidence in my abilities as a future social worker. i appreciated the balance of guidance and autonomy provided throughout my practicum experience.","the least helpful aspect was the occasional lack of structure around certain projects and tasks. at times, there was limited clarity on expectations or deadlines, which made it challenging to prioritize or fully understand the purpose of some assignments. while this did push me to advocate for more direction and practice professional communication, having more structured onboarding or clearer project guidelines would have enhanced the overall learning experience.","one of the most helpful and educational aspects of my practicum agency was the opportunity to apply classroom knowledge in real world settings while being supported by experienced supervisors and colleagues. i was able to practice a wide range of generalist and integrated skills, including case management, client advocacy, crisis intervention, and interdisciplinary collaboration. the agency’s commitment to serving diverse populations, particularly refugees and immigrants, deepened my understanding of cultural humility, trauma informed care, and systemic barriers to services. regular supervision sessions were especially valuable, providing me with constructive feedback, ethical guidance, and opportunities for self reflection, which helped me grow both professionally and personally.","overall, my practicum experience was invaluable in developing my social work practice. i was able to build a strong foundation in generalist practice, particularly in working with diverse and marginalized populations. the support from my afi and the field education team helped me navigate challenges and grow as a professional. this experience has deepened my commitment to social justice and advocacy, and i feel well-prepared for my future career as a social worker.","the agency offers rich learning opportunities for students interested in working with diverse and vulnerable populations, particularly refugees and immigrants. it provides practical experience in generalist practice, interdisciplinary collaboration, and advocacy work. however, i would advise future students to be proactive in seeking clarification, supervision, and structure when needed to make the most of the experience."
2016-2017,blackfeet community college,Blackfeet Community College,she was the best.,on the job site.,the hands on and the helpfulness of the employees and supervisors along with the msw outside group.,,she was so helpful in answer and letting me learn from her. she had lots of knowledge to pass down to me and in a native american community that is key.
2017-2018,paxson elementary school,Paxson Elementary School,,"the least educational thing about my practicum was that i did not work with clients, so i did not gain any experience in that aspect of social work.","what was most educational about my practicum agency was that completing projects i wanted was never without challenges, which forced me to work around roadblocks. this was a great way to understand how prevention often works in social work and challenged me to persevere when things didn't go as planned or were easily accomplished.",i had a great first practicum experience. the peace project was a valuable agency on campus that taught me so many educational lessons about social work and gave me a valuable perspective on how i want to be as a social worker going forward.,i would recommend this practicum placement to another student because it is a great learning environment with people who support your growth as a social worker. i learned valuable skills in prevention and working with others. i loved working at the micro level of social work and understanding how the university system works as a whole.
2017-2018,winds of change mental health center,Winds Of Change Mental Health Center,she was always available by phone with quick answers and guidance.,"nothing, i learned something new everyday.","working with clients who have experienced trauma, and learning how to navigate their experience.",,
2017-2018,intermountain,Intermountain,"there were weeks when supervision felt rushed, which limited deeper reflection.",,"i learned a lot through case management, service coordination, and connecting clients with community resources. i could see how assessment, intervention, and evaluation work together.",overall this was a meaningful practicum and helped me clarify my future field interests.,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were case management, advocacy."
2018-2019,curry health center,Curry Health Center,,the least helpful part was having fewer opportunities for direct service than expected.,i learned a lot from community-based research and how it can support social planning and advocacy. it also reinforced a person-in-environment perspective.,i grew in confidence and appreciated the agency's commitment to student learning.,"i would only recommend this setting if a student is highly independent, because the learning structure was not always clear. the main concerns were less direct practice, remote isolation."
2018-2019,cameron r-1 school district,Cameron R-1 School District,,frequent changes in agency needs occasionally interrupted my learning flow.,capacity building and outreach work helped me think about sustainable development and long-term systems change. it connected well with social justice and self-determination.,more structured onboarding and written expectations would strengthen the experience for future students.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were community organization, capacity building."
2018-2019,st. patrick hospital,St. Patrick Hospital,i would have benefited from more consistent supervision and clearer feedback on my performance.,"the work was valuable but emotionally intense, especially during crisis-heavy periods.",the most helpful part was practicing group facilitation in a supportive setting.,,"this placement had strengths, but i would be cautious recommending it unless a student is comfortable with ambiguity and limited direct support. the main concerns were documentation burden, relapse complexity."
2021-2022,st. patrick hospital,St. Patrick Hospital,,the research piece of my learning agreement was more challenging as i had a harder time finding some of the information i needed from the agency. it was not easily searchable on their website.,each of the social workers that i worked with had a wealth of knowledge that i could learn from. they were all very welcoming and made me feel as if i were a member of their social service team.,,
2021-2022,big sky palliative & hospice,Big Sky Palliative & Hospice,"my afi at this site was really dedicated to trying to co-create a meaningful practicum experience. you can tell she cared deeply about the students she mentors and has a lot of wisdom to share surrounding her work. however, she was also incredibly busy and honestly deeply impacted by the state of the country after the election.","the agency did not allow students into the charting software, which ultimately barred us from actively engaging in direct social work practice with patients and families.",i appreciated the times i was able to shadow the social workers. being able to facilitate expressive arts groups on campus surrounding grief was really informative and helped me learn a lot.,,"i think this agency was experiencing a lot of growth and staff were too busy to provide as meaningful as a practicum experience as i would have hoped. i never felt very integrated into the agency, and felt that the director or people above my field instructor were not familiar with the role of a practicum student."
2021-2022,poverello center inc,Poverello Center Inc,i found my supervision was consistent and useful for determining the direction of my practicum. i felt generally prepared and able to tackle my practicum tasks largely because my afi was good at communicating expectations and setting up time to talk with me when i had concerns or questions.,"i think in general it has just been a bit chaotic for a couple of months due to the announcement of the closure of the johnson street shelter and impending staff layoffs. the uncertainty around my job security has been a bit stressful at times, so in that sense the lack of clarity has been unhelpful. but that hasn't had too much of an impact on my practicum.","in general i feel like it was really nice to have a couple of other practicum students on site that i could work with on specific tasks; that was my favorite part of the practicum overall, being able to bounce ideas off of other students and work with them on group projects to improve the agency.",i'm hoping to be able to continue my practicum at the poverello center next year if possible!,"there are lots of opportunities to contribute to the poverello center's mission and you have a lot of freedom to structure your practicum. i have found the staff to be very open to ideas and suggestions for practicum-related tasks and projects. if you're self-motivated and looking for a practicum site where you can be creative in how you do your work, i think the poverello center is a good fit."
2021-2022,crime victim advocate program,Crime Victim Advocate Program,,"my job/practicum was emotionally exhausting for me, which made it difficult for me to engage in many opportunities to learn more than what i already knew, entering the school year. consistent misgendering made it difficult to focus on my work.",my afi gave me a lot of flexibility to work on projects outside of my typical job duties.,,i would not recommend this practicum to other trans and/or nonbinary students. the agency struggled with using my pronouns correctly.
2021-2022,vocational rehab,Vocational Rehab,,,"my supervisor at vr has been amazing, always challenging me to think critically, engage ethically and with curiosity, and to ask every question i might have.","the site supervisor represents the experience i would like all practicum students to experience.  she pushed the element of critical thinking about client cases and community engagement, offering space for all questions, concerns, and ideas.",
2021-2022,western montana mental health center,Western Montana Mental Health Center,,lack of coordination/organization between agencies within the community. uncertainty about frameworks and procedures.,"the combination of  practice with individuals and the skills that come along with it, and the training that helps me understand systemic/community barriers. small team and ability to have frequent conversations about what is and isn't working with clients. time to read and do trainings that are relevant to this field.",,"variety in each day that allows for a broad scope of learning opportunities. ability to coordinate with other agencies helps me to see the larger picture of issues and possibilities. working with this population allows me to practice with a broad range of issues (homelessness, policy, community organizing, addiction, mental health)."
2021-2022,la family housing,La Family Housing,"again, i felt that i could have used a bit more guidance when it came to specific competencies.",there was a lack of structure and/or guidance when it came to fulfilling some of the competencies.,the direct interaction with clients was the most helpful as well as the facilitation of group activities.,,"overall, it was a positive experience and very friendly environment for a social work student."
2021-2022,missoula interfaith collaborative,Missoula Interfaith Collaborative,"my supervisor is a very to the point person, but i really enjoyed being able to learn and grow from it.","the aspect of my practicum that was lease helpful or educational was the lack of instruction. i understand some people would thrive in that environment, and i made the most out of it, but i wish there was more of a specific role for me to jump into.","the most helpful or educational aspect of my practicum was the supervision provided, as well as the collaborative spirit of the team. another aspect i really appreciated was the monthly secondary trauma and community building trainings.","the last month or so of my practicum, my role was completely shifted. i was asked to take lead in a role that i believe should have taken much more time. the role was a temporary position for me, as another person was being hired to take over, so i felt slightly taken advantage of. i did agree to take on the position, so perhaps i could have put up a better boundary. when i experienced a major loss the last couple weeks of the semester, i had to really double down at my practicum to 'finish' the job, while also trying to take care of myself, and felt very overwhelmed with navigating my grief, school, and an intense new role, while attending to my previous clients. .","i would recommend my practicum agency to another student because of the positivity and understanding of my coworkers, the relationships made with clients, and the strong supervision."
2021-2022,international rescue committee,International Rescue Committee,"my afi has been a great resource, the best guide, and my big supporter. i have learned so much from her, and her help has truly shaped my journey here in irc.","many clients are working, so meeting with clients will require students to be flexible. students may need to meet clients outside of regular work hours, which can pose a challenge for some.","they provided intensive training about their programs, which set students up for success and gave them many opportunities to gain hands-on experiences. this was the most helpful!","although i may encounter some challenges due to the impact of federal policy on this practicum, i only have good things to say about my experiences here.","the practicum site provides students with many opportunities for professional growth, and students will gain a great deal from it."
2021-2022,logan health medical center,Logan Health Medical Center,"mandie has gone above and beyond for the development of not only my success but my coworkers! she has made my experience with lhbh unforgettable. she always had an open door and answered any questions that came up. supervision has helped me navigate difficult situations on the unit including becoming more confident in my voice, hipaa policies, trauma informed care, navigating clients in crisis, and the important of taking care of ourselves outside of work.","due to the fast-paced nature of inpatient psychiatric care, much of the work is short term with stabilization being the top priority. i understand and agree that stabilization is important, sometimes i felt like there wasn't enough time for me to truly build rapport, or witness long term client process. i love the past paced nature, so this is the only thing that comes to mind!","understanding the importance of the multidisciplinary collaboration to support clients in acute crisis has been rewarding. not only do i know the roles of social workers, rns, mhts, and psychiatrists, i learned how to advocate for clients in a fast paced, environment. i also have learned how to navigate ethical tensions, and learning to balance work-life balance. it was eye-opening to see the systems level and the need to bridge inpatient care with community support! i started this practicum living in a new city, and learning what the community has to offer for its patients was crucial in my development.",,"yes! this practicum has deepened my understanding of systemic barriers individuals with mental health crisis face- whether that is those who are unhoused, struggle with substance use, or compounding risk factors, involvement with criminal justice system. this job opportunity provided me with clinical experience i might've not otherwise witnessed. it also has fostered a deep sense of empathy and commitment to my community. i also learned how interprofessional collaboration works and how important teamwork is for patient success."
2022-2023,trailhead therapy & mentoring,Trailhead Therapy & Mentoring,,documentation sometimes felt repetitive and took time away from direct learning.,family systems thinking helped me understand the broader context of assessment and support planning.,,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were family systems, community resources."
