academic_year,program_year,agency_name,prepared_for_practice,learning_goals_met,most_helpful,least_helpful,recommend,recommend_reason,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,supervision_frequency,supervision_quality,comments_supervisor,felt_prepared,other_comments
2020-2021,bsw,Child And Family Service Department,strongly agree,strongly agree,it was very helpful to shadow my afi and learn from him directly in how to do other jobs within the agency.,everything i have done so far has been helpful to me.,yes,it is an agency with a lot to offer as far as learning opportunities.,strongly agree,strongly agree,strongly agree,strongly agree,somewhat disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,jake was always available to me any time i had questions and always offered to help me any way he could throughout the duration of the practicum. he has always been a wonderful source of information.,strongly agree,
2023-2024,generalist,Child And Family Service Department,strongly agree,somewhat agree,my afi challenging me.,no clinical specific experience.,yes,,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,strongly agree,neither agree nor disagree,somewhat agree,strongly agree,somewhat agree,neither agree nor disagree,,somewhat agree,
2014-2015,bsw,Mountain Home Montana,somewhat agree,somewhat agree,"i appreciated being trusted with assessment work and seeing how assessment informs case management and direct practice. i could see how assessment, intervention, and evaluation work together.","documentation was important, but it occasionally overshadowed client interaction.",yes,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were care planning, family systems.",neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,strongly agree,somewhat agree,somewhat agree,strongly agree,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.",somewhat disagree,
2014-2015,specialization,Santiam Hospital & Clinics,neither agree nor disagree,somewhat agree,"motivational interviewing and rapport-building were especially valuable in this placement. it gave me a clearer view of micro, mezzo, and macro practice.","relapse and crisis cycles were educational, but at times difficult because progress was not always linear.",yes,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were assessment, motivational interviewing.",neither agree nor disagree,somewhat agree,strongly agree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,,somewhat disagree,this placement helped me connect classroom learning to practice and strengthened my professional identity.
2015-2016,bsw,Bozeman Health Deaconess Regional Medical Center,strongly agree,somewhat agree,resource linkage was very helpful because it taught me how to translate assessment into practical support. it also reinforced a person-in-environment perspective.,i would have benefited from clearer orientation and more defined project timelines.,yes,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were resource linkage, advocacy.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,strongly agree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,somewhat agree,,strongly disagree,
2016-2017,specialization,Youth Homes,somewhat agree,strongly agree,getting involved in a field i am interested in and learning more about the interworkings of being a social worker.,could have used more training.,yes,"it was a rewarding experience, and i got to be apart of a really valuable community helping the youth of missoula.",strongly agree,strongly agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,josephine was wonderful to work with and inspired me to continue in this line of work.,strongly disagree,"i would recommend this to anyone interested in working with youth, specifically teenagers."
2016-2017,specialization,Empowermt,somewhat agree,somewhat agree,"having the opportunity to lead youth groups, make mistakes, and try many different tasks. learning through doing!",i would have appreciated more micro level work. the work environment was a little laid back and chaotic for my liking.,yes,just be prepared for a little chaos and mezzo/macro work!,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,somewhat agree,"heidi is the best, she will support you across the board1",somewhat disagree,
2016-2017,specialization,Stepping Stones,strongly agree,strongly agree,"having unparalleled support in regards to all questions needing answered, whether that be: ethical questions, it support, clinician language/lingo, or advice regarding being triggered by specific patient stories/experiences.","honestly, our program director (not my afi) has not been very helpful with guiding me or training me on certain things (ex. helping send in inpatient applications for patients and rois) she expects me to do, just tells me that i was wrong...",yes,,strongly agree,somewhat agree,strongly agree,somewhat agree,strongly agree,neither agree nor disagree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,darren is has abundant knowledge and i wouldn't have wanted anyone else to be my afi!!!,strongly disagree,thank you for this experience!
2016-2017,specialization,Poverello Center Inc,somewhat agree,somewhat agree,i found that i benefited the most from the group supervision sessions with the two other practicum students at the agency. it was very helpful to share ideas and learn from different viewpoints by people in similar situations.,"doing a work-based practicum, i often found it difficult to separate my work life and my school life.",yes,,strongly agree,strongly agree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,,strongly disagree,
2016-2017,specialization,International Rescue Committee,neither agree nor disagree,somewhat agree,learning how to just adapt and pivot and how to present myself as a social worker with clients and community partners.,honestly not my agencies fault but the lack of funding and no more incoming clients due to the trump administration made trying to find things to do and learn new thing around the the last month and half difficult and i had to actually seek out and look for educational opportunities.,no,don't get me wrong i loved my internship and the people i worked with and served and have learned a lot and in my view i have helped people but i would not recommend a student applying for a practicum at the irc at the moment. in a year maybe yes but since over half the staff has been laid off since i started in late august and the way things are operating is different we are not getting new clients probably until trump finishes his term. i just don't think its the type of learning environment i would recommend till the dust clears a bit more. and note i don't think its the agencies fault its self but outside forces affecting the agency and the agency just trying to adapt.,strongly agree,strongly agree,strongly agree,somewhat agree,strongly agree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,i just wish i had a consistent afi but the ones i did have were great.,strongly disagree,i felt useful and impactful at my practicum.
2016-2017,specialization,Soft Landing Missoula,neither agree nor disagree,strongly agree,"one of the most helpful and educational aspects of my practicum agency was the opportunity to apply classroom knowledge in real world settings while being supported by experienced supervisors and colleagues. i was able to practice a wide range of generalist and integrated skills, including case management, client advocacy, crisis intervention, and interdisciplinary collaboration. the agency’s commitment to serving diverse populations, particularly refugees and immigrants, deepened my understanding of cultural humility, trauma informed care, and systemic barriers to services. regular supervision sessions were especially valuable, providing me with constructive feedback, ethical guidance, and opportunities for self reflection, which helped me grow both professionally and personally.","the least helpful aspect was the occasional lack of structure around certain projects and tasks. at times, there was limited clarity on expectations or deadlines, which made it challenging to prioritize or fully understand the purpose of some assignments. while this did push me to advocate for more direction and practice professional communication, having more structured onboarding or clearer project guidelines would have enhanced the overall learning experience.",yes,"the agency offers rich learning opportunities for students interested in working with diverse and vulnerable populations, particularly refugees and immigrants. it provides practical experience in generalist practice, interdisciplinary collaboration, and advocacy work. however, i would advise future students to be proactive in seeking clarification, supervision, and structure when needed to make the most of the experience.",strongly agree,somewhat agree,strongly agree,strongly agree,somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,"my afi played a crucial role in my professional development by fostering a supportive and growth oriented environment. their mentorship encouraged me to think critically, reflect on my practice, and build confidence in my abilities as a future social worker. i appreciated the balance of guidance and autonomy provided throughout my practicum experience.",somewhat agree,"overall, my practicum experience was invaluable in developing my social work practice. i was able to build a strong foundation in generalist practice, particularly in working with diverse and marginalized populations. the support from my afi and the field education team helped me navigate challenges and grow as a professional. this experience has deepened my commitment to social justice and advocacy, and i feel well-prepared for my future career as a social worker."
2016-2017,specialization,Blackfeet Community College,strongly agree,strongly agree,the hands on and the helpfulness of the employees and supervisors along with the msw outside group.,on the job site.,yes,she was so helpful in answer and letting me learn from her. she had lots of knowledge to pass down to me and in a native american community that is key.,strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,she was the best.,strongly agree,
